name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s),started(s)
binarytrees,java,7,21,841,8.076,1689824,0,91% 74% 74% 73%,2.588,8.130,0.000
binarytrees,java,7,21,841,8.227,1718620,0,74% 89% 79% 69%,2.649,8.282,0.000
binarytrees,java,7,21,841,8.107,1697612,0,73% 90% 77% 72%,2.604,8.161,0.000
binarytrees,java,7,21,841,8.101,1684920,0,73% 76% 72% 89%,2.610,8.139,0.000
binarytrees,php,4,7,786,0.038,19656,0,1% 4% 1% 2%,0.750,0.071,0.000
binarytrees,php,4,14,786,0.202,20224,0,50% 85% 66% 50%,0.082,0.207,0.000
binarytrees,php,4,21,786,56.608,918272,0,73% 67% 70% 96%,18.456,56.827,0.000
binarytrees,php,4,21,786,56.554,918528,0,85% 72% 70% 82%,18.295,56.751,0.000
binarytrees,php,4,21,786,56.855,918272,0,76% 78% 85% 71%,18.324,57.043,0.000
binarytrees,php,4,21,786,56.502,918400,0,70% 81% 73% 85%,18.323,56.839,0.000
binarytrees,php,4,21,786,56.804,918400,0,70% 71% 96% 73%,18.311,57.057,0.000
binarytrees,php,4,21,786,56.594,918400,0,70% 85% 81% 72%,18.328,56.762,0.000
binarytrees,icx,1,7,660,0.002,19684,0,100% 0% 0% 0%,0.002,0.002,0.000
binarytrees,icx,1,14,660,0.081,19684,0,100% 0% 0% 0%,0.082,0.082,0.000
binarytrees,icx,1,21,660,17.981,263936,0,100% 0% 0% 0%,17.984,18.146,0.000
binarytrees,icx,1,21,660,17.929,263936,0,100% 0% 0% 0%,17.933,18.328,0.000
binarytrees,icx,1,21,660,17.933,263936,0,0% 83% 16% 0%,17.936,18.079,0.000
binarytrees,icx,1,21,660,17.980,264064,0,0% 0% 100% 0%,17.984,18.164,0.000
binarytrees,icx,1,21,660,17.982,263936,0,0% 0% 100% 0%,17.985,18.237,0.000
binarytrees,icx,1,21,660,18.034,263936,0,0% 100% 0% 0%,18.036,18.181,0.000
binarytrees,vw,3,7,932,0.735,56192,0,0% 0% 0% 75%,0.973,0.732,0.000
binarytrees,vw,3,14,932,0.681,59776,0,100% 0% 1% 0%,0.686,0.696,0.000
binarytrees,vw,3,21,932,39.124,375680,0,35% 71% 69% 49%,17.540,39.412,0.000
binarytrees,vw,3,21,932,38.952,375808,0,60% 81% 35% 48%,17.448,39.259,0.000
binarytrees,vw,3,21,932,38.720,375680,0,43% 40% 60% 75%,17.681,38.915,0.000
binarytrees,vw,3,21,932,38.024,375680,0,50% 62% 82% 30%,16.927,38.205,0.000
binarytrees,vw,3,21,932,38.632,375808,0,56% 61% 58% 44%,17.642,38.900,0.000
binarytrees,vw,3,21,932,38.891,375808,0,46% 69% 48% 60%,17.429,39.198,0.000
binarytrees,lua,4,7,670,0.023,19652,0,4% 4% 4% 0%,0.235,0.030,0.000
binarytrees,lua,4,14,670,0.759,19652,0,91% 81% 81% 87%,0.226,0.773,0.000
binarytrees,lua,4,21,670,180.274,956672,0,97% 91% 91% 91%,48.645,180.618,0.000
binarytrees,php,7,7,767,0.038,19656,0,0% 6% 0% 0%,0.620,0.040,0.000
binarytrees,php,7,14,767,0.196,20352,0,71% 57% 100% 62%,0.075,0.220,0.000
binarytrees,php,7,21,767,56.112,948480,0,95% 88% 86% 87%,15.715,56.244,0.000
binarytrees,php,7,21,767,56.250,948608,0,87% 87% 87% 98%,15.608,56.298,0.000
binarytrees,php,7,21,767,56.092,948480,0,89% 88% 88% 97%,15.456,56.166,0.000
binarytrees,php,7,21,767,55.933,948480,0,90% 91% 89% 86%,15.661,56.050,0.000
binarytrees,php,7,21,767,55.862,948480,0,84% 93% 89% 86%,15.795,55.993,0.000
binarytrees,php,7,21,767,56.044,948480,0,86% 88% 96% 89%,15.519,56.132,0.000
binarytrees,gpp,8,7,826,0.013,19860,0,8% 0% 0% 8%,0.118,0.020,0.000
binarytrees,gpp,8,14,826,0.027,19860,0,100% 50% 0% 0%,0.012,0.018,0.000
binarytrees,gpp,8,21,826,5.377,265984,0,55% 37% 63% 87%,2.235,5.439,0.000
binarytrees,gpp,8,21,826,5.263,265984,0,55% 64% 87% 34%,2.218,5.344,0.000
binarytrees,gpp,8,21,826,5.366,265984,0,63% 87% 44% 46%,2.235,5.430,0.000
binarytrees,gpp,8,21,826,5.363,266112,0,39% 94% 44% 63%,2.233,5.391,0.000
binarytrees,gpp,8,21,826,5.331,266112,0,48% 84% 45% 63%,2.228,5.383,0.000
binarytrees,gpp,8,21,826,5.338,265984,0,87% 43% 64% 46%,2.226,5.375,0.000
binarytrees,racket,4,7,861,1.848,211112,0,17% 32% 15% 28%,2.057,1.924,0.000
binarytrees,racket,4,14,861,1.585,224644,0,44% 84% 47% 45%,0.723,1.605,0.000
binarytrees,racket,4,21,861,10.256,407312,0,58% 39% 51% 44%,5.360,10.378,0.000
binarytrees,racket,4,21,861,9.348,423080,0,41% 42% 45% 68%,4.751,9.422,0.000
binarytrees,racket,4,21,861,9.546,421676,0,54% 41% 41% 56%,4.984,9.665,0.000
binarytrees,racket,4,21,861,9.547,414216,0,44% 43% 44% 65%,4.904,9.685,0.000
binarytrees,racket,4,21,861,9.580,428288,0,45% 37% 44% 68%,4.918,9.625,0.000
binarytrees,racket,4,21,861,9.844,403504,0,52% 60% 39% 43%,5.076,9.959,0.000
binarytrees,go,6,7,618,0.004,19804,0,0% 0% 0% 0%,0.004,0.000,0.000
binarytrees,go,6,14,618,0.146,19804,0,0% 100% 6% 0%,0.146,0.155,0.000
binarytrees,go,6,21,618,30.168,403584,0,2% 4% 96% 1%,28.835,30.277,0.000
binarytrees,go,6,21,618,30.184,404096,0,17% 81% 3% 2%,28.857,30.444,0.000
binarytrees,go,6,21,618,30.027,404224,0,1% 98% 1% 3%,28.717,30.239,0.000
binarytrees,go,6,21,618,29.310,404096,0,4% 2% 2% 95%,27.934,29.415,0.000
binarytrees,go,6,21,618,30.350,403968,0,5% 94% 2% 3%,29.056,30.508,0.000
binarytrees,go,6,21,618,29.232,404352,0,11% 86% 4% 2%,27.853,29.413,0.000
binarytrees,icx,3,7,842,0.010,19684,0,0% 0% 5% 0%,0.177,0.010,0.000
binarytrees,icx,3,14,842,0.043,19684,0,66% 100% 100% 66%,0.016,0.052,0.000
binarytrees,icx,3,21,842,6.126,134528,0,82% 67% 74% 84%,2.007,6.186,0.000
binarytrees,icx,3,21,842,6.116,134528,0,66% 67% 90% 83%,2.002,6.148,0.000
binarytrees,icx,3,21,842,6.129,134528,0,67% 74% 84% 83%,2.004,6.190,0.000
binarytrees,icx,3,21,842,6.124,134528,0,74% 67% 84% 83%,2.002,6.182,0.000
binarytrees,icx,3,21,842,6.131,134528,0,68% 92% 66% 83%,2.004,6.206,0.000
binarytrees,icx,3,21,842,6.144,134528,0,69% 76% 82% 83%,2.006,6.233,0.000
binarytrees,dartjit,3,7,1219,1.212,152008,0,6% 9% 14% 10%,3.133,1.266,0.000
binarytrees,dartjit,3,14,1219,0.917,185816,0,71% 39% 35% 30%,0.533,0.942,0.000
binarytrees,dartjit,3,21,1219,57.848,1551276,0,61% 62% 65% 65%,22.788,58.293,0.000
binarytrees,dartjit,3,21,1219,57.755,1769524,0,63% 64% 63% 64%,22.742,58.243,0.000
binarytrees,dartjit,3,21,1219,58.871,1491980,0,63% 63% 64% 62%,23.383,59.415,0.000
binarytrees,dartjit,3,21,1219,59.058,1695392,0,66% 63% 63% 62%,23.343,59.642,0.000
binarytrees,dartjit,3,21,1219,59.861,1527556,0,65% 63% 63% 62%,23.748,60.509,0.000
binarytrees,dartjit,3,21,1219,56.531,1591052,0,63% 66% 61% 60%,22.649,57.008,0.000
binarytrees,lua,2,7,418,0.008,19652,0,5% 0% 0% 0%,0.176,0.009,0.000
binarytrees,lua,2,14,418,0.614,19652,0,100% 1% 0% 1%,0.614,0.634,0.000
binarytrees,lua,2,21,418,141.523,956672,0,100% 0% 0% 0%,141.545,142.112,0.000
binarytrees,python3,1,7,597,0.153,19652,0,1% 7% 4% 0%,1.172,0.171,0.000
binarytrees,python3,1,14,597,0.648,19652,0,60% 64% 92% 58%,0.242,0.664,0.000
binarytrees,python3,1,21,597,126.383,277632,0,86% 87% 95% 87%,35.499,126.732,0.000
binarytrees,node,7,7,458,0.126,48896,0,0% 1% 2% 5%,1.757,0.170,0.000
binarytrees,node,7,14,458,0.126,59008,0,8% 16% 46% 46%,0.116,0.137,0.000
binarytrees,node,7,21,458,29.168,1065444,0,33% 37% 35% 57%,17.949,29.346,0.000
binarytrees,node,7,21,458,29.218,1066488,0,36% 30% 38% 62%,17.716,29.498,0.000
binarytrees,node,7,21,458,29.264,1066200,0,32% 56% 37% 37%,17.998,29.390,0.000
binarytrees,node,7,21,458,29.226,1066752,0,32% 33% 36% 62%,17.976,29.570,0.000
binarytrees,node,7,21,458,29.271,1066352,0,34% 58% 34% 36%,18.024,29.505,0.000
binarytrees,node,7,21,458,29.202,1065728,0,34% 34% 64% 30%,17.969,29.505,0.000
binarytrees,icx,2,7,816,0.009,19684,0,18% 0% 9% 0%,0.102,0.028,0.000
binarytrees,icx,2,14,816,0.040,19684,0,50% 66% 100% 100%,0.015,0.047,0.000
binarytrees,icx,2,21,816,5.377,170368,0,78% 71% 77% 91%,1.699,5.410,0.000
binarytrees,icx,2,21,816,5.387,170368,0,70% 77% 76% 91%,1.720,5.433,0.000
binarytrees,icx,2,21,816,5.325,170496,0,70% 79% 71% 100%,1.669,5.356,0.000
binarytrees,icx,2,21,816,5.389,170368,0,77% 98% 69% 68%,1.727,5.429,0.000
binarytrees,icx,2,21,816,5.390,170496,0,78% 69% 70% 100%,1.708,5.432,0.000
binarytrees,icx,2,21,816,5.355,170368,0,79% 74% 80% 91%,1.655,5.386,0.000
binarytrees,csharpcore,7,7,706,0.067,31316,0,95% 0% 15% 4%,0.401,0.461,0.000
binarytrees,csharpcore,7,14,706,0.201,76280,0,100% 35% 78% 38%,0.137,0.347,0.000
binarytrees,csharpcore,7,21,706,15.607,1552024,0,91% 74% 74% 91%,4.907,16.273,0.000
binarytrees,csharpcore,7,21,706,14.760,1385824,0,78% 87% 74% 75%,4.710,14.899,0.000
binarytrees,csharpcore,7,21,706,15.841,1433216,0,76% 75% 89% 77%,4.997,15.970,0.000
binarytrees,csharpcore,7,21,706,15.195,1397548,0,77% 92% 80% 82%,4.605,15.283,0.000
binarytrees,csharpcore,7,21,706,15.862,1547128,0,77% 78% 91% 79%,4.927,16.075,0.000
binarytrees,csharpcore,7,21,706,15.821,1390088,0,78% 90% 76% 79%,4.943,15.999,0.000
binarytrees,racket,2,7,422,0.349,69628,0,11% 1% 0% 18%,1.222,0.391,0.000
binarytrees,racket,2,14,422,0.228,72776,0,0% 26% 100% 4%,0.228,0.298,0.000
binarytrees,racket,2,21,422,9.083,324152,0,100% 0% 0% 0%,9.084,9.193,0.000
binarytrees,racket,2,21,422,9.224,323864,0,0% 0% 0% 100%,9.228,9.348,0.000
binarytrees,racket,2,21,422,9.340,322732,0,0% 0% 100% 0%,9.341,9.407,0.000
binarytrees,racket,2,21,422,9.145,324240,0,0% 0% 0% 100%,9.149,9.231,0.000
binarytrees,racket,2,21,422,9.138,322832,0,0% 0% 0% 100%,9.140,9.241,0.000
binarytrees,racket,2,21,422,9.207,324016,0,0% 100% 0% 1%,9.208,9.402,0.000
binarytrees,csharpaot,8,7,621,0.000,0,-11,%,0.000,0.000,0.000
binarytrees,csharpaot,8,14,621,0.000,0,-11,%,0.000,0.000,0.000
binarytrees,csharpaot,8,21,621,0.000,0,-11,%,0.000,0.000,0.000
binarytrees,node,6,7,752,0.226,65152,0,0% 5% 4% 3%,1.755,0.242,0.000
binarytrees,node,6,14,752,0.498,129464,0,66% 47% 47% 43%,0.245,0.504,0.000
binarytrees,node,6,21,752,31.034,1161392,0,90% 85% 85% 84%,9.076,31.293,0.000
binarytrees,node,6,21,752,31.404,1167400,0,83% 85% 89% 83%,9.249,31.604,0.000
binarytrees,node,6,21,752,31.141,1145924,0,86% 83% 88% 83%,9.175,31.398,0.000
binarytrees,node,6,21,752,31.445,1171060,0,82% 87% 83% 86%,9.300,31.565,0.000
binarytrees,node,6,21,752,31.359,1231216,0,82% 88% 82% 83%,9.351,31.515,0.000
binarytrees,node,6,21,752,31.082,1161808,0,84% 84% 87% 85%,9.116,31.169,0.000
binarytrees,go,2,7,672,0.004,19804,0,0% 0% 0% 0%,0.004,0.000,0.000
binarytrees,go,2,14,672,0.242,19804,0,100% 83% 83% 100%,0.070,0.256,0.000
binarytrees,go,2,21,672,56.778,592632,0,99% 99% 99% 99%,14.290,56.846,0.000
binarytrees,go,2,21,672,56.846,626452,0,99% 99% 99% 99%,14.365,57.072,0.000
binarytrees,go,2,21,672,56.943,588640,0,99% 99% 99% 98%,14.390,57.145,0.000
binarytrees,go,2,21,672,56.885,569284,0,98% 99% 99% 99%,14.402,57.090,0.000
binarytrees,go,2,21,672,56.965,590936,0,99% 99% 99% 99%,14.333,57.161,0.000
binarytrees,go,2,21,672,56.686,535660,0,99% 99% 99% 99%,14.326,56.973,0.000
binarytrees,javaxint,6,7,535,0.153,35484,0,0% 0% 10% 2%,1.223,0.163,0.000
binarytrees,javaxint,6,14,535,0.450,98788,0,21% 71% 4% 2%,0.465,0.464,0.000
binarytrees,javaxint,6,21,535,68.269,1255432,0,0% 0% 40% 60%,67.559,68.707,0.000
binarytrees,javaxint,6,21,535,68.149,1284364,0,6% 7% 15% 72%,67.530,68.543,0.000
binarytrees,javaxint,6,21,535,68.193,1323672,0,36% 13% 37% 14%,67.535,68.615,0.000
binarytrees,javaxint,6,21,535,68.114,1241340,0,24% 70% 6% 0%,67.432,68.511,0.000
binarytrees,javaxint,6,21,535,68.270,1275396,0,36% 0% 57% 6%,67.527,68.540,0.000
binarytrees,javaxint,6,21,535,68.232,1263988,0,61% 22% 11% 6%,67.511,68.524,0.000
binarytrees,openj9,6,7,535,0.495,53048,0,1% 15% 14% 1%,1.596,0.536,0.000
binarytrees,openj9,6,14,535,0.355,62252,0,48% 8% 80% 8%,0.254,0.368,0.000
binarytrees,openj9,6,21,535,9.195,566152,0,39% 18% 39% 55%,6.048,9.307,0.000
binarytrees,openj9,6,21,535,8.578,623232,0,73% 40% 25% 14%,5.661,8.684,0.000
binarytrees,openj9,6,21,535,9.050,579584,0,40% 40% 33% 39%,5.972,9.196,0.000
binarytrees,openj9,6,21,535,8.891,567892,0,59% 80% 5% 7%,5.875,9.006,0.000
binarytrees,openj9,6,21,535,8.508,620428,0,16% 91% 9% 34%,5.662,8.612,0.000
binarytrees,openj9,6,21,535,8.949,572824,0,63% 44% 5% 39%,5.927,9.051,0.000
binarytrees,mri,5,7,1016,0.023,19688,0,5% 2% 0% 2%,0.374,0.040,0.000
binarytrees,mri,5,14,1016,1.973,19688,0,55% 88% 45% 90%,0.707,1.981,0.000
binarytrees,mri,5,21,1016,1066.653,1559164,0,74% 73% 96% 72%,336.766,1068.560,0.000
binarytrees,go,5,7,957,0.004,19804,0,0% 0% 0% 0%,0.004,0.000,0.000
binarytrees,go,5,14,957,0.249,19804,0,75% 71% 87% 85%,0.076,0.244,0.000
binarytrees,go,5,21,957,58.036,329076,0,99% 99% 99% 99%,14.686,58.215,0.000
binarytrees,go,5,21,957,57.910,301228,0,95% 93% 93% 96%,15.320,58.125,0.000
binarytrees,go,5,21,957,57.417,325452,0,93% 96% 94% 91%,15.390,57.653,0.000
binarytrees,go,5,21,957,57.596,293632,0,99% 99% 99% 99%,14.491,57.776,0.000
binarytrees,go,5,21,957,58.089,418260,0,88% 89% 90% 86%,16.415,58.324,0.000
binarytrees,go,5,21,957,57.866,398508,0,99% 99% 99% 99%,14.591,58.132,0.000
binarytrees,rust,1,7,760,0.002,19072,0,33% 0% 0% 50%,0.018,0.015,0.000
binarytrees,rust,1,14,760,0.037,19072,0,50% 50% 100% 0%,0.017,0.034,0.000
binarytrees,rust,1,21,760,7.335,132736,0,93% 83% 80% 87%,2.147,7.407,0.000
binarytrees,rust,1,21,760,7.358,132736,0,88% 85% 98% 86%,2.072,7.428,0.000
binarytrees,rust,1,21,760,7.295,132736,0,82% 96% 87% 81%,2.112,7.340,0.000
binarytrees,rust,1,21,760,7.373,132736,0,88% 81% 79% 92%,2.170,7.412,0.000
binarytrees,rust,1,21,760,7.347,132736,0,87% 92% 86% 81%,2.120,7.382,0.000
binarytrees,rust,1,21,760,7.341,132736,0,79% 86% 95% 87%,2.112,7.378,0.000
binarytrees,gpp,6,7,851,0.012,19860,0,0% 7% 0% 0%,0.143,0.010,0.000
binarytrees,gpp,6,14,851,0.030,19860,0,100% 0% 66% 100%,0.013,0.035,0.000
binarytrees,gpp,6,21,851,5.036,265984,0,50% 39% 34% 100%,2.265,5.087,0.000
binarytrees,gpp,6,21,851,4.774,265984,0,87% 50% 75% 46%,1.967,5.120,0.000
binarytrees,gpp,6,21,851,4.846,266112,0,87% 53% 74% 44%,1.980,5.141,0.000
binarytrees,gpp,6,21,851,5.050,265984,0,100% 39% 51% 35%,2.264,5.145,0.000
binarytrees,gpp,6,21,851,5.027,266112,0,35% 99% 52% 38%,2.238,5.065,0.000
binarytrees,gpp,6,21,851,4.741,265984,0,62% 53% 45% 87%,1.921,4.773,0.000
binarytrees,gpp,9,7,815,0.014,19684,0,0% 0% 5% 5%,0.164,0.019,0.000
binarytrees,gpp,9,14,815,0.032,19684,0,100% 0% 100% 100%,0.014,0.043,0.000
binarytrees,gpp,9,21,815,4.738,136064,0,47% 60% 100% 52%,1.837,4.773,0.000
binarytrees,gpp,9,21,815,4.640,135808,0,100% 50% 55% 63%,1.742,4.681,0.000
binarytrees,gpp,9,21,815,4.592,135936,0,57% 100% 56% 63%,1.680,4.659,0.000
binarytrees,gpp,9,21,815,4.545,135936,0,57% 53% 68% 100%,1.649,4.604,0.000
binarytrees,gpp,9,21,815,4.493,135808,0,53% 57% 66% 100%,1.651,4.558,0.000
binarytrees,gpp,9,21,815,4.543,135936,0,100% 52% 65% 56%,1.683,4.613,0.000
binarytrees,gpp,3,7,951,0.004,19684,0,0% 0% 0% 0%,0.065,0.000,0.000
binarytrees,gpp,3,14,951,0.023,19684,0,100% 100% 0% 50%,0.012,0.030,0.000
binarytrees,gpp,3,21,951,5.108,265600,0,54% 100% 40% 35%,2.253,5.184,0.000
binarytrees,gpp,3,21,951,5.173,265600,0,90% 42% 34% 63%,2.284,5.272,0.000
binarytrees,gpp,3,21,951,5.104,265600,0,40% 53% 100% 35%,2.257,5.172,0.000
binarytrees,gpp,3,21,951,5.130,265472,0,35% 39% 52% 100%,2.279,5.186,0.000
binarytrees,gpp,3,21,951,5.042,265600,0,39% 34% 51% 100%,2.264,5.100,0.000
binarytrees,gpp,3,21,951,5.116,265472,0,35% 40% 100% 52%,2.273,5.172,0.000
binarytrees,openj9,3,7,546,0.542,52860,0,8% 0% 1% 21%,1.766,0.558,0.000
binarytrees,openj9,3,14,546,0.351,66900,0,7% 11% 42% 74%,0.267,0.362,0.000
binarytrees,openj9,3,21,546,12.822,775060,0,31% 84% 45% 12%,7.453,13.005,0.000
binarytrees,openj9,3,21,546,12.223,877512,0,46% 36% 48% 45%,6.962,12.309,0.000
binarytrees,openj9,3,21,546,9.261,828256,0,12% 52% 78% 9%,6.113,9.353,0.000
binarytrees,openj9,3,21,546,8.674,930108,0,83% 6% 11% 49%,5.770,8.725,0.000
binarytrees,openj9,3,21,546,9.107,902652,0,68% 9% 68% 7%,5.959,9.172,0.000
binarytrees,openj9,3,21,546,9.024,875836,0,35% 99% 6% 12%,5.946,9.145,0.000
binarytrees,fpascal,7,7,1010,0.007,19568,0,20% 16% 16% 0%,0.047,0.025,0.000
binarytrees,fpascal,7,14,1010,0.031,19568,0,66% 100% 0% 66%,0.017,0.040,0.000
binarytrees,fpascal,7,21,1010,5.145,132608,0,39% 100% 45% 54%,2.160,5.169,0.000
binarytrees,fpascal,7,21,1010,5.150,132608,0,99% 41% 45% 54%,2.148,5.193,0.000
binarytrees,fpascal,7,21,1010,5.146,132608,0,38% 46% 54% 100%,2.158,5.183,0.000
binarytrees,fpascal,7,21,1010,5.159,132608,0,54% 46% 100% 39%,2.162,5.183,0.000
binarytrees,fpascal,7,21,1010,5.153,132608,0,39% 100% 47% 54%,2.156,5.194,0.000
binarytrees,fpascal,7,21,1010,5.150,132608,0,45% 39% 100% 54%,2.169,5.190,0.000
binarytrees,chapel,4,7,489,0.023,19988,0,6% 0% 3% 3%,0.310,0.041,0.000
binarytrees,chapel,4,14,489,0.156,19988,0,80% 75% 75% 80%,0.050,0.155,0.000
binarytrees,chapel,4,21,489,26.213,477568,0,99% 90% 88% 89%,7.161,26.288,0.000
binarytrees,chapel,4,21,489,26.165,477568,0,99% 89% 88% 89%,7.143,26.236,0.000
binarytrees,chapel,4,21,489,26.204,477568,0,99% 89% 89% 89%,7.147,26.285,0.000
binarytrees,chapel,4,21,489,26.174,477568,0,99% 89% 89% 89%,7.130,26.230,0.000
binarytrees,chapel,4,21,489,26.168,477824,0,99% 89% 88% 89%,7.150,26.247,0.000
binarytrees,chapel,4,21,489,26.223,477824,0,99% 89% 88% 89%,7.187,26.347,0.000
binarytrees,perl,3,7,655,0.039,19684,0,0% 12% 0% 3%,0.308,0.050,0.000
binarytrees,perl,3,14,655,1.854,27956,0,89% 85% 84% 68%,0.571,1.870,0.000
binarytrees,perl,3,21,655,374.106,2200700,0,74% 93% 73% 98%,110.366,374.804,0.000
binarytrees,toit,1,7,397,0.069,68608,0,15% 8% 27% 45%,0.105,0.101,0.000
binarytrees,toit,1,14,397,0.596,72448,0,86% 8% 5% 0%,0.596,0.598,0.000
binarytrees,toit,1,21,397,2041.410,376192,0,0% 0% 99% 0%,2040.991,2047.114,0.000
binarytrees,node,1,7,717,0.313,74112,0,8% 5% 2% 3%,1.782,0.360,0.000
binarytrees,node,1,14,717,0.595,145408,0,62% 63% 80% 65%,0.229,0.622,0.000
binarytrees,node,1,21,717,33.539,1292240,0,91% 93% 92% 92%,9.133,33.710,0.000
binarytrees,node,1,21,717,33.304,1338008,0,93% 93% 92% 93%,9.001,33.575,0.000
binarytrees,node,1,21,717,33.520,1290692,0,91% 94% 92% 91%,9.115,33.680,0.000
binarytrees,node,1,21,717,33.385,1237900,0,92% 94% 91% 92%,9.061,33.618,0.000
binarytrees,node,1,21,717,33.563,1302172,0,94% 92% 91% 91%,9.111,33.675,0.000
binarytrees,node,1,21,717,33.369,1325248,0,92% 93% 93% 91%,9.069,33.637,0.000
binarytrees,clang,5,7,914,0.002,19860,0,0% 0% 0% 0%,0.002,0.000,0.000
binarytrees,clang,5,14,914,0.155,19860,0,100% 100% 80% 80%,0.048,0.172,0.000
binarytrees,clang,5,21,914,33.996,351232,0,93% 89% 80% 96%,9.478,34.101,0.000
binarytrees,clang,5,21,914,34.023,351232,0,83% 93% 87% 97%,9.457,34.204,0.000
binarytrees,clang,5,21,914,34.013,351232,0,89% 92% 86% 93%,9.451,34.088,0.000
binarytrees,clang,5,21,914,33.924,351232,0,79% 88% 91% 98%,9.512,34.071,0.000
binarytrees,clang,5,21,914,33.960,351232,0,89% 82% 92% 98%,9.391,34.078,0.000
binarytrees,clang,5,21,914,33.971,351104,0,85% 90% 93% 92%,9.475,34.149,0.000
binarytrees,dartexe,4,7,1394,0.011,19656,0,0% 33% 50% 33%,0.019,0.022,0.000
binarytrees,dartexe,4,14,1394,0.073,43008,0,75% 66% 60% 50%,0.035,0.087,0.000
binarytrees,dartexe,4,21,1394,24.512,550268,0,56% 47% 55% 50%,11.795,24.688,0.000
binarytrees,dartexe,4,21,1394,23.984,573260,0,50% 58% 50% 59%,11.104,24.295,0.000
binarytrees,dartexe,4,21,1394,25.219,571472,0,56% 52% 49% 56%,11.856,25.515,0.000
binarytrees,dartexe,4,21,1394,24.702,543380,0,56% 48% 56% 50%,11.810,25.038,0.000
binarytrees,dartexe,4,21,1394,24.540,584412,0,55% 51% 53% 59%,11.293,24.844,0.000
binarytrees,dartexe,4,21,1394,25.032,590320,0,51% 61% 54% 52%,11.495,25.301,0.000
binarytrees,dartjit,4,7,1394,1.153,155340,0,12% 6% 8% 10%,3.070,1.170,0.000
binarytrees,dartjit,4,14,1394,0.866,185832,0,25% 41% 25% 77%,0.521,0.883,0.000
binarytrees,dartjit,4,21,1394,30.019,701680,0,63% 62% 52% 54%,13.020,30.181,0.000
binarytrees,dartjit,4,21,1394,30.481,780752,0,58% 55% 58% 59%,13.321,30.904,0.000
binarytrees,dartjit,4,21,1394,29.619,758212,0,58% 55% 64% 53%,12.931,29.960,0.000
binarytrees,dartjit,4,21,1394,30.290,742712,0,57% 61% 60% 53%,13.164,30.593,0.000
binarytrees,dartjit,4,21,1394,30.411,756628,0,61% 56% 58% 53%,13.337,30.728,0.000
binarytrees,dartjit,4,21,1394,29.822,735452,0,59% 59% 56% 57%,13.007,30.229,0.000
binarytrees,fsharpcore,1,7,517,0.147,31916,0,0% 11% 0% 0%,1.335,0.161,0.000
binarytrees,fsharpcore,1,14,517,0.193,78848,0,43% 39% 4% 0%,0.228,0.198,0.000
binarytrees,fsharpcore,1,21,517,12.643,1165252,0,9% 47% 44% 23%,10.562,13.118,0.000
binarytrees,fsharpcore,1,21,517,12.664,1068132,0,23% 50% 22% 27%,10.529,13.077,0.000
binarytrees,fsharpcore,1,21,517,12.826,1248320,0,14% 24% 23% 58%,10.665,12.851,0.000
binarytrees,fsharpcore,1,21,517,12.648,1160268,0,10% 39% 27% 42%,10.542,12.766,0.000
binarytrees,fsharpcore,1,21,517,12.755,1196012,0,10% 59% 41% 10%,10.531,12.774,0.000
binarytrees,fsharpcore,1,21,517,12.579,1022804,0,11% 45% 26% 38%,10.440,12.705,0.000
